,sentence,entities
14,"44, 216 ^ 227 .","(44, 216 ^,)"
15,"Vertically, the wet and dry low montane forest extends from approximately 2 000 m to about 3 000 m and the mean annual temperature is between 12 ° and 18 ° C .","(18 ° C,)"
16,4 eC YEARS OF REGISTRATION : 195357 ° C 15 ' r 14 J F M A M J J A SON D UBATE PRECIPITATION YEARLY MEAN : 770.1 mm YEARS OF REGISTRATION : 1929 _ '58 TEMPERATURE YEARLY MEAN : 14.7C YEARS OF REGISTRATION : 1933 _ '57 140 120 100 80 60 40 w 3 20 l -LSB- O. m I-1 - I J1 - I c1m 16 1s 14 D J F M A M J J A SON D Fig. 2 .,"(15 ' r,)"
17,I. Hemitch 0.5 % Gunnera 0.5 V. Malvaceac 0.5,"(0.5 % Gunnera 0.5 V.,)"
18,m _ L : Nympheae 0.5 ° 1o Nympheae 1 = 1o Borreria 0.5C3p3echinado 1.5Nympheae 1C3p3echinado 1.5C3p3 echinado 1o Borreria 0.5C3p3 echJnado 0.5P3 echinado 0.5o -RCB- roteaceae 0 .,"(0.5 ° 1o Nympheae, Borreria)"
19,"BORRERIA 0 6A S T R O N I U M - T Y P E 0, 3 ° 1o15 ANACARDIACEAE 0 3152015 tVISMIA 0 2 % I2 - 110 G A I A D E N D R O N 0, 39 ~ PHYLLANTHU$ O  3613 PHYLLANTHUS 0 3 % VIBURNUM 0 3 % BORRERIA 0 8 % VIBURNUM 0 3 % 0 3 % CrTI, O ¸ 100 2OO CORIARIA 0 6 ° 1o CORIARIA 1 5 % CORIARIA 0 5 eli C0RIARIA 0 3 % PHYLLANTHUS O  3 % CORIARIA 0 9 % CORIARIA 0 4PHYLLANTHUS 0 4 % 300 VIBURNUM O  3 % PROTEACEAE O. 3 % ANACARDIACEAE O  5400 CORIA RIA O  6 % DRYMI$ 0 3 % BORRERIA 0 3 % 500 6CC C P PERI TYPE 1 0 41 .","(3 ° 1o15 ANACARDIACEAE,)"
20,THE POLLENDIAGRAMLAGUNADE PALACIO (Fig. 7) The lake (location 5 ° 15 ' N 73o48 ' W) lies at 5 km south of Ubat(- Fig.l) .,"(5 ° 15 ' N,)"
21,4 Pomme de Terre River Sta .,"(4 Pomme, Terre River Sta)"
22,"53 ° Chauvin L. Forest Humboldt L. 51 ° Mixed-Grass Prairie Shorter-Grass Prairie Aspen Parkland Cypress Hills 49 ° Oro L. 114 ° 110 ° 106 ° 102 ° 98 ° Fig. 1 Map of the Canadian Great Plains showing the location of Chauvin, Humboldt and Oro lakes .","(53 °, 110 ° 106 ° 102 ° 98 °, Chauvin)"
24,"MacDonald GM, Case RA (2000) Biological evidence of multiple temporal and spatial scales of hydrological variation in the r 2007 The Authors Journal compilation r 2007 Blackwell Publishing Ltd, Global Change Biology, 13, 12951307 R A P I D C H A N G E I N P R A I R I E D R O U G H T C O N D I T I O N S 1307 western interior of Canada .","(MacDonald GM,, Blackwell Publishing Ltd, Canada)"
25,"MacDonald GM, Case RA (2005) Variations in the Paciﬁc Decadal Oscillation over the past millennium .","(MacDonald GM,,)"
26,"The best documented and most widely used estimate of regional reservoir effect (ΔR) for this region is, however, a + 242 ± 50 yr value from Pavlov Harbor at 55 ° N lat .","(Pavlov Harbor, 55 ° N)"
27,"Optimum germination for P. edulis occurs at 21 ° C in the first spring following early fall seed set, although seeds may germinate in summer or early fall if conditions are favorable (Kintigh, 1949) .","(21 ° C,)"
28,"Site description Crystal Lake (42 ° 14.07 ′ N, 88 ° 21.48 ′ W, 273 m a.s.l93 ha) is an oblong kettle lake (500 × 2110 m) that formed during the last deglaciation on an outwash fan associated with the Woodstock Moraine and the older, eroded Barlina Moraine (Curry, 2005) .","(Crystal Lake, 42 ° 14.07 ′, 88 ° 21.48)"
30,At the transition to the Holocene the upper forest line (UFL) shifted within 200 years 700800 m upslope reﬂecting a temperature increase of ~ 4.5 ° C. Dead wood in the forests may have caused frequent ﬁres .,"(4.5 ° C. Dead,)"
31,"Geography and geology The sediment core studied in this paper comes from the Llano Grande basin which is part of the Páramo de Frontino, located at 6 ° 29 ′ N and 76 ° 6 ′ W .","(6 ° 29 ′ N,)"
32,Estimated temperatures for the past refer to the elevation of the mire (3450 m) where MAT is ~ 9.5 ° C. Water level changes are reconstructed on the basis of changing proportions of aquatic plants forming of a hydrosere from deep water to wet shore conditions (see e.g. Va n't Veer C.A. Velásquez-RH. Hooghiemstra / Review of Palaeobotany and Palynology 194 (2013) 3849 41 Fig. 2 .,"(9.5 ° C. Water, Palaeobotany)"
33,"The UFL shifted rapidly from ~ 2900 m to ~ 3600/3700 m, and this difference of 700 to 800 m reﬂects a temperature increase of ~ 4.5 ° C. Fires were abundant during this period of dramatic change (Van der Hammen and Van Geel, 2008) .","(4.5 °, Van Geel)"
34,"Vegetation development at the Lateglacial to Holocene transition is indicative of a change from coldwet to warmdry conditions while the UFL shifted in less than 200 years 700800 m upslope, reﬂecting a temperature increase of ~ 4.5 ° C. Individual taxa show clear and discrete expansion events, such as Podocarpus in period 2, Quercus, Melastomataceae, Myrsine, Weinmannia, and Hesperomeles in period 5, and Alnus in period 7 showing the ﬂoristic composition of the montane forest changed during its upslope migration .","(4.5 ° C. Individual, Quercus, Myrsine, Weinmannia, Alnus)"
35,"This synthesis is based on the pollen records from lakes Sardinas, Angel, El Piñal, Carimagua, Chenevo, Loma Linda, and Margaritas -(45 ° N7074 ° W80250 m elevation ; eastern Colombian lowlands stretching to the foothills of the Andes ; Hooghiemstra and Berrio, 2007 and references therein -)(- 6) multiproxy record Lake Chochos (7 ° 38 ′ S, 77 ° 28 ′ W ; 3285 m elevation ; northern Peruvian Andes ; Bush et al2005 -)(- 7) ice core record Nevado Huascarán (9 ° 07 ′ S, 77 ° 37 ′ W ; 6050 m elevation ; Cordillera Blanca, northern Peru ; Thompson et al1995 -)(- 8) Cariaco Trench (10 ° 42 ′ N, 65 ° 10 ′ W, 877 m water depth ; Haug et al2001) .","(Carimagua, Chenevo, Margaritas, Andes, Hooghiemstra, Lake Chochos, Peruvian Andes, Nevado Huascarán, 9 ° 07, 77 °, Peru)"
37,4 ° C and beyond : what did this mean for biodiversity in the past ?,"(4 ° C,)"
38,"The Rocky Mountains are separated by a climatic boundary between 40 ° and 45 ° N, which we refer to as the central Rocky Mountains (CRM) .","(45 ° N, Rocky Mountains)"
39,"Dettinger et al. (1998) proposed a climatic boundary that separates the NRM and SRM between 40 ° and 45 ° N latitude, but this climatic boundary was likely not stationary 0033-5894see front matter © 2013 University of Washington .","(45 ° N,)"
40,http://dx.doi.org/10.1016/j.yqres.2013.07.009 107 ° W B 42 ° N Rawlins V.A. Carter et alQuaternary Research 80 (2013) 406416 106 ° W A 105 ° W Nor ther n Rocky M ountains Centr al Rocky M ountains Souther n Rocky M ountains 407 42 ° N Range Mountain Bow Medicine Long Lake 41 ° N Laramie Cheyenne 41 ° N C Fort Collins Rocky Mountain National Park Greeley Longmont 40 ° N 0 0.25 0.5 107 ° W km 1 106 ° W 0 25 50 km 100 105 ° W 40 ° N Figure 1 .,"(107 ° W, 42 °, alQuaternary Research 80 (, Centr, Souther)"
43,"Finally, Shinker (2010) showed wedge-shaped clusters of similar monthly : annual precipitation patterns between 40 ° and 43 ° N that span the CRM, which is supportive of the interpretation of an unclear climatic boundary proposed by both Dettinger et al. (1998) and Wise (2010) .","(Shinker, 43 ° N, Wise)"
44,"Depth UGAMS # Label ID Source/Material (cm) Age (14C yr BP) Age (cal yr BP) with 2-sigma range 29 88 156 232 249 323.5 449 3249 2773 3032 2774 3031 2775 3478 LL07D LL07D LL07D LL07D LL07D LL07D LL07D Pinus contora needle Pinus contorta needle Pinus contorta needle Pinus contorta needle Abies lasiocarpa needle Pinus ﬂexis needle Abies lasiocarpa needle 50 ± 35 1730 ± 35 3510 ± 30 6460 ± 45 8110 ± 50 9630 ± 50 10325 ± 50 31139 15491714 36983864 72757435 89769152 10 77411 180 11 97512 386 Site description Long Lake, Carbon County, Wyoming (41 ° 30.099 ′ N, 106 ° 22.087 ′ W, elevation 2700 m) lies within a closed drainage basin situated behind a terminal Pinedale moraine within the Medicine Bow River drainage (Atwood, 1937) (Fig. 1) .","(Long Lake, Carbon County, Wyoming, 106 ° 22.087, Bow River, Atwood)"
45,"All sediments were then transported to the University of Utah RED (Records of Environment and Disturbance) Lab, and refrigerated at 2 ° C, prior to further analyses .","(2 ° C,)"
46,410 V.A. Carter et alQuaternary Research 80 (2013) 406416 Figure 4 .,"(alQuaternary Research 80 (,)"
47,"Briles et al. (2012) suggest the initial low ﬁre activity during the early YDC at Lily Pond, Colorado (38 ° N) and in the SRM was a result of coolwet winters, and prolonged warmwet summers .","(Lily Pond, Colorado, 38 ° N)"
48,"Jimenez-Moreno et al. (2011) interpret cooler conditions at Tiago Lake (40 ° N) in north-central Colorado as a The paleoenvironmental records from the NRM suggest a cold YDC with an infrequent ﬁre regime, while the paleoenvironmental records from the SRM suggests cold climatic conditions and a frequent ﬁre regime .","(Tiago Lake, 40 ° N, Colorado)"
49,"There were no real comparisons to the paleoenvironmental records in the NRM ; however, the ﬁre regime from Long Lake and the CRM seems to be more similar to the ﬁre regime V.A. Carter et alQuaternary Research 80 (2013) 406416 415 of the SRM during the Populus period .","(Long Lake, alQuaternary Research 80 ()"
50,Climate boundary and future research The paleoenvironmental record from Long Lake illustrates the sensitivity of vegetation and ﬁre activity relative to the climatic boundary between the NRM and SRM proposed by Dettinger et al. (1998) to lie between 40 ° and 45 ° N .,"(Long Lake, 45 ° N)"
51,"41.07 ° S, long .","(41.07 ° S,,)"
52,"42.50 ° S, long .","(42.50 ° S,,)"
53,"71.40 ° W, 556 m elevation, 8-m coring water depth) is located 150 km to the south, near the town of Cholila .","(71.40 ° W, Cholila)"
54,190 C. Whitlock et alQuaternary Research 66 (2006) 187201 Table 1 Chronology information for study sites Core Depth (m) Adjusted Midpoint depth (m) a Laguna El Trébol Tre02B 0 Tre02B 0.52 Tre02A 1.251.26 0 0.47 1.185 Lab no .,"(alQuaternary Research 66 (2006, Laguna El Trébol)"
55,195 196 C. Whitlock et alQuaternary Research 66 (2006) 187201 Figure 4 .,"(alQuaternary Research 66 (2006,)"
56,197 198 C. Whitlock et alQuaternary Research 66 (2006) 187201 Figure 6 .,"(alQuaternary Research 66 (2006,)"
57,"Deglacial and postglacial climate history in east-central Isla Grande de Chiloe, southern Chile (43 ° S) .","(Chile, 43 ° S)"
58,"Mid-Holocene climatic variability reconstruction from pollen records (3252 ° S, Argentina) .","(3252 ° S, Argentina,)"
59,"41 ° S, long .","(41 ° S,,)"
60,71 ° 39 ′ W -)Palaeolimnological aspects .,"(71 ° 39 ′ W,)"
61,"Steel Lake (46 ° 58 ′ N, 94 ° 41 ′ W, 23 ha, 415 m above sea level (asl)) is in coniferous forest (dominated by Pinus spp)-","(46 ° 58, 94 ° 41 ′ W)"
63,"Deep Lake (47 ° 41 ′ N, 95 ° 23 ′ W, 4 ha, 411 m asl) is just inside coniferous forest, but near a narrow band of oak woodland separating coniferous forest from tallgrass prairie .","(47 ° 41 ′ N, 95 ° 23)"
65,"West Olaf Lake (46 ° 37 ′ N, 96 ° 11 ′ W, 58 ha, 393 m asl) is in a mix of tallgrass prairie and oak woodland .","(46 ° 37, 96 ° 11)"
67,"We compare data from these sites with pollen assemblages from Moon Lake (46 ° 51 ′ N, 98 ° 09 ′ W, 35 ha, 444 m asl -)located in eastern North Dakota in mixed-grass prairie (Fig. 1) .","(Moon Lake, 46 °, 98 ° 09 ′, North Dakota)"
69,"Mean July temperature increases along a northsouth gradient, from 19 ° C at Deep Lake to 21 ° C at West Olaf Lake .","(19 ° C, Deep Lake, West Olaf Lake)"
70,"Site details The alder-carr fen Na Bahne (240 m a. s. l50 ° 11 ' 51.4N, 15 ° 57 ' 32.9E, 1 ha) lies below the youngest, Würmian terrace in a floodplain, 150 m from the Orlice River, about 8 km east of the Elbe River .","(15 ° 57 ' 32.9E, the Orlice River, the Elbe River)"
71,"Mean annual air temperature is 7.8 ° C, and annual precipitation is 602 mm (AD 19011950 average, Nový Hradec Králové Meterological Station, 8.5 km east of the study site ; Vesecký, 1961) .","(7.8 ° C, Vesecký)"
72,"depth (m) Mean depth (m) Volume (m3X 106) Alkalinityyl) MgNa + K + z4 - 47 ' 12 ’N, 95O12 ' w 101 30 11.0 11.2 3.00 38.4 11.7 7.7 1.8 0.8 46 ' 47 ’N, 95O55 ' w 64.8 ca. 1.5 - 46 ' 46 ’N, 95 ° 55 ' w 528 16.5 6.35 ca. 0.7 33.7 5.54 66.5 30.0 34.0 6.7 12.8 13.8 3.49 32.8 27.5 10.8 4.4 15.4 33.7 aData from Lake Sallie after Peterson, 1971 ; St. Clair lake data from water samples processed at the University of Minnesota, St. Paul ; Elk Lake data from Megard, 1968 .","(46 ' 47 ’N, 95O55 ' w, 95 ° 55 ' w, Sallie, Peterson, St. Clair, St. Paul, Elk Lake, Megard)"
74,"At latitude 41 ° S the lateglacial pollen assemblages are dominated by rainforest types west of the Andes, suggesting cold and wet conditions, while east of the Andes grasses and herb pollen dominated the assemblages, suggesting conditions colder and drier than today .","(41 ° S, Andes, Andes)"
75,"Lateglacial pollen assemblages at latitude 32 ° S are dominated by grasses, composites, and desert shrub pollen, suggesting colder and wetter climates than today .","(32 ° S,)"
76,"Postglacial type environments replaced the lateglacial ones at 12 000 yr B.P. at latitudes 32 ° and 41 ° S, but only at 8 500 yr B.P. at latitudes 51 ° to 54 ° S .","(41 ° S,)"
77,"The postglacial environments at all latitudes resemble the modern environments, with Nothofagus pollen dominating at high southern latitudes and latitude 41 ° S and desert scrub pollen at latitude 32 ° S, suggesting precipitation and temperature values similar to the modern ones .","(Nothofagus, 41 °, 32 ° S,)"
79,"This site Oat 54 ° 12 'S, long 71 ° 14 ' W) is located near sealevel on an island about 120 km south of Punta Arenas, south of the Magellan Straits (Text-Figure 2, site 3) .","(71 ° 14 ' W, Punta Arenas)"
80,"By 1880, when the first • 40 ° S 73 ° W I 72 ° W I 71W .40S Lago Nahuel Huap !","(40 ° S 73 ° W, 72 ° W)"
82,"Vegetation map of temperate latitudes 40 ° to 42 ° S (after Donoso, 1981, and Dimitri, 1972) with location of paleoenvironmental records .","(42 ° S,)"
83,"A vegetation map (Text-Figure 5) illustrates the five major vegetation types at latitude 41 ° S from the Pacific across the Andes, based on data from Dimitri (1972 -)Donoso (1981 -)Oberdorfer (1960 -)and Veblen et al. (in press) .","(41 ° S, Pacific, Andes)"
84,"betuloides, is replaced at latitude 41 ° S by N. dombeyi, even though N. betuloides does occur on the Chilean side at 1 000 m elevation in a narrow zone .","(41 ° S,)"
85,"Mean annual temperatures vary from 10 ° C in the rainforest, to 6 ° C in the deciduous N. pumilio forest, to 8 ° C near the steppe/forest transition (Donoso, 1981 ; Huber, 1975 ; Gallopin, 1978) .","(8 ° C,)"
86,"This site (lat 41 ° 15 'S, long 71 ° 28 ` W) is located at 800 m elevation between the lakes Mascardi and Gutierrez, about 20 km south of Bariloche (Text-Figure 5 site 5b) .","(71 ° 28 `, Bariloche)"
87,Summary pollen diagrams of major plant taxa from temperate latitudes 41 ° to 42 ° S. by Heusser (1966) .,"(42 ° S.,)"
88,Comparison of records from latitude 41 ° S .,"(41 ° S,)"
89,"The basic paleoenvironmental chronology from the desert area at latitudes 30 ° to 34 ° S (Text-Figure 1 and 8, sites 6 through 8) comes from pollen analysis of a sediment accumulated in the cave Gruta del Indio, near San Rafael (TextFigure 8, site 6) .","(34 ° S, San Rafael)"
90,"Vegetation map of arid region between latitudes 32 ° and 35 ° S, Mendoza Province, with location of records 6 : Gruta del Indio ; 7 : Salina 2 ; 8 : Salado .","(35 ° S, Mendoza,)"
